phone_id,person_id,mobile_number,imei,imsi,provider,sim_type,connection_type,activation_date,status,is_primary
PHN00057,PER00057,10626760728,192440336624517,404995109763747057,Jio,Postpaid,4G,2025-01-25,Active,True
PHN00058,PER00058,9924507013,848690956779483,404668384230531642,Vi,Prepaid,5G,2023-02-18,Active,True
PHN00059,PER00059,10206943032,103123835087776,404793075685403955,BSNL,Postpaid,VoLTE,2026-04-24,Suspended,True
PHN00060,PER00060,9293466325,301805780823677,404494572087178673,Airtel,Prepaid,4G,2025-12-04,Active,True
PHN00061,PER00061,10697261357,670777780735646,404519993086563198,Jio,Postpaid,5G,2026-05-04,Active,True
PHN00062,PER00062,9499962528,456220248055391,404922848289417065,Vi,Prepaid,VoLTE,2023-04-23,Suspended,True
PHN00063,PER00063,10745403646,303982093319489,404824298591159744,BSNL,Postpaid,4G,2024-11-06,Active,True
PHN00064,PER00064,9471396252,745444879916597,404887795494337823,Airtel,Prepaid,5G,2024-05-04,Active,True
PHN00065,PER00065,10728632410,894532814608578,404321541104244997,Jio,Postpaid,VoLTE,2022-02-28,Suspended,True
PHN00066,PER00066,9277063654,980248377891811,404380414721583617,Vi,Prepaid,4G,2023-02-11,Active,True
PHN00067,PER00067,10878043043,492757951757339,404898406702710504,BSNL,Postpaid,5G,2024-12-13,Active,True
PHN00068,PER00068,9439915854,658460705628765,404419885179830671,Airtel,Prepaid,VoLTE,2022-07-29,Suspended,True
PHN00069,PER00069,10653225262,623043375157816,404841314684106074,Jio,Postpaid,4G,2024-05-13,Active,True
PHN00070,PER00070,9111018000,790009742354361,404895900096421960,Vi,Prepaid,5G,2022-03-27,Active,True
PHN00071,PER00071,10791500762,451743127498463,404867319900383995,BSNL,Postpaid,VoLTE,2022-08-30,Suspended,True
PHN00072,PER00072,9708440142,534701415278939,404567113368054014,Airtel,Prepaid,4G,2024-05-17,Active,True
PHN00073,PER00073,10178761052,391985310950401,404480371275867723,Jio,Postpaid,5G,2025-09-30,Active,True
PHN00074,PER00074,9507057943,651573856337675,404605661185330269,Vi,Prepaid,VoLTE,2024-02-25,Suspended,True
PHN00075,PER00075,10737341070,644189134445694,404468840010197136,BSNL,Postpaid,4G,2025-04-17,Active,True
PHN00076,PER00076,9414708775,583143048485129,404605024244583904,Airtel,Prepaid,5G,2022-12-15,Active,True
PHN00077,PER00077,10873081864,808467061774639,404355277375669863,Jio,Postpaid,VoLTE,2024-07-05,Suspended,True
PHN00078,PER00078,9432348461,567937657578420,404760929444491333,Vi,Prepaid,4G,2024-01-11,Active,True
PHN00079,PER00079,10282273587,154603997508402,404967503483090150,BSNL,Postpaid,5G,2025-03-11,Active,True
PHN00080,PER00080,9353308912,701138336806882,404913492202310613,Airtel,Prepaid,VoLTE,2024-06-08,Suspended,True
PHN00081,PER00081,10650407826,993869197618461,404193417843722067,Jio,Postpaid,4G,2021-09-13,Active,True
PHN00082,PER00082,9158908822,537803026580302,404533929445364253,Vi,Prepaid,5G,2026-06-19,Active,True
PHN00083,PER00083,10143293307,216187896286440,404188339932200520,BSNL,Postpaid,VoLTE,2022-06-08,Suspended,True
PHN00084,PER00084,9979573501,467781868385629,404380131615092755,Airtel,Prepaid,4G,2025-07-04,Active,True
PHN00085,PER00085,10671071345,170472384048109,404400331753760531,Jio,Postpaid,5G,2024-05-08,Active,True
PHN00086,PER00086,9253369766,898900512936006,404164832547973349,Vi,Prepaid,VoLTE,2025-05-13,Suspended,True
PHN00087,PER00087,10487852621,108416725339128,404242155535258507,BSNL,Postpaid,4G,2024-12-26,Active,True
PHN00088,PER00088,9905596420,649996776838942,404213975495321756,Airtel,Prepaid,5G,2021-11-28,Active,True
PHN00089,PER00089,10234934705,489188664763239,404517793907150857,Jio,Postpaid,VoLTE,2024-05-24,Suspended,True
PHN00090,PER00090,9623531036,274694064130211,404559646936149810,Vi,Prepaid,4G,2022-12-01,Active,True
PHN00091,PER00091,10309906416,815687623385425,404370404097276783,BSNL,Postpaid,5G,2023-05-06,Active,True
PHN00092,PER00092,9318231208,365085606180583,404225385008878684,Airtel,Prepaid,VoLTE,2021-12-24,Suspended,True
PHN00093,PER00093,10820610940,688434047180178,404622176374782505,Jio,Postpaid,4G,2023-03-05,Active,True
PHN00094,PER00094,9626776253,505057174854828,404245126977884276,Vi,Prepaid,5G,2022-12-31,Active,True
PHN00095,PER00095,10184735236,705783587041850,404160200670163958,BSNL,Postpaid,VoLTE,2024-11-26,Suspended,True
PHN00096,PER00096,9775915460,828529005916695,404782651496986701,Airtel,Prepaid,4G,2024-11-22,Active,True
PHN00097,PER00097,10243423016,620752548881318,404895228808750266,Jio,Postpaid,5G,2022-10-10,Active,True
PHN00098,PER00098,9102767508,755219063052124,404229100044093763,Vi,Prepaid,VoLTE,2022-02-06,Suspended,True
PHN00099,PER00099,10740676206,390109573908704,404166251629037949,BSNL,Postpaid,4G,2022-06-24,Active,True
PHN00100,PER00100,9456520197,585881688164153,404424166653060383,Airtel,Prepaid,5G,2026-01-05,Active,True
